Date,Time,AKSUSE1QTS_M01U_ival,AKSUSE1QTS_M01U_unit,AKSUSE1MF01M01U_ival,AKSUSE1MF01M01U_unit,AKSUSE2QTS_M01U_ival,AKSUSE2QTS_M01U_unit,AKSUSE2MF01M01U_ival,AKSUSE2MF01M01U_unit,Aeration_rate:_total_of_5EE_if_all_14_aerators_per_tank_are_blowing_EnergieeinheitenBB1_ival,EnergieeinheitenBB1_unit,DO_AKBBBB1QO2_M01U_ival,DO_AKBBBB1QO2_M01U_unit,DO_AKBBBB1QO2_M02U_ival,DO_AKBBBB1QO2_M02U_unit,Schlammalter_ival,Schlammalter_unit,Aerobic_sludge_age_Aerobes_Schlammalter_ival,Aerobes_Schlammalter_unit,Ammonia_AKBVBW1QNH4H01_ival,AKBVBW1QNH4H01_unit,Nitric_oxide_AKBVBW1QNO_H01_ival,AKBVBW1QNO_H01_unit,phosphate_AKBVBW1QPO4H01_ival,AKBVBW1QPO4H01_unit,Redox_Potential_AKBVBW1QROXH01_ival,AKBVBW1QROXH01_unit,pH_in_tank_AKBVBW1QPH_H01_ival,AKBVBW1QPH_H01_unit,TS_AKBVBW1QTS_H01_ival,AKBVBW1QTS_H01_unit,AKBVBW1QTS_H02_ival,AKBVBW1QTS_H02_unit,AKBNKB1ML02H01RW01_ival,AKBNKB1ML02H01RW01_unit,AKBNKB2ML02H01RW01_ival,AKBNKB2ML02H01RW01_unit,AKBNKB3ML02H01RW01_ival,AKBNKB3ML02H01RW01_unit,AKBNKB4ML02H01RW01_ival,AKBNKB4ML02H01RW01_unit,BOD_AKMVKL2LBSBM12_ival,AKMVKL2LBSBM12_unit,AKMVKL2LBSBM11_ival,AKMVKL2LBSBM11_unit,COD_AKMVKL2LCSBM12_ival,AKMVKL2LCSBM12_unit,AKMVKL2LCSBM11_ival,AKMVKL2LCSBM11_unit,AKMVKL2LNH4M12_ival,AKMVKL2LNH4M12_unit,AKMVKL2LPO4M12_ival,AKMVKL2LPO4M12_unit,AKMVKL2LPO4M14_ival,AKMVKL2LPO4M14_unit,AKMVKL2LPH_M11_ival,AKMVKL2LPH_M11_unit,Conductivity_AKMVKL2LLF_M11_ival,AKMVKL2LLF_M11_unit,AKBBBB1XS02M11_ival,AKBBBB1XS02M11_unit,AKBNKB1XS01M21_ival,AKBNKB1XS01M21_unit,AKBNKB2XS01M21_ival,AKBNKB2XS01M21_unit,AKBNKB3XS01M21_ival,AKBNKB3XS01M21_unit,AKBNKB4XS01M21_ival,AKBNKB4XS01M21_unit
12.09.2025,10:00:00,1.44,g/l,0.00,m³/h,7.72,g/l,64.83,m³/h,2.0,EE,,mg/l,,mg/l,16.90,Tage,,Tage,0.5,mg/l,1.2,mg/l,0.1,mg/l,64,mV,7.04,,3.1,g/l,3.6,g/l,452,m³/h,269,m³/h,191,m³/h,343,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
12.09.2025,11:00:00,1.72,g/l,0.00,m³/h,9.21,g/l,65.00,m³/h,2.0,EE,,mg/l,,mg/l,14.03,Tage,,Tage,1.1,mg/l,0.9,mg/l,0.1,mg/l,22,mV,7.04,,3.1,g/l,3.6,g/l,444,m³/h,158,m³/h,189,m³/h,486,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
12.09.2025,12:00:00,1.47,g/l,0.00,m³/h,8.64,g/l,65.07,m³/h,2.0,EE,,mg/l,,mg/l,14.57,Tage,,Tage,2.1,mg/l,0.8,mg/l,0.2,mg/l,6,mV,7.04,,3.1,g/l,3.5,g/l,467,m³/h,497,m³/h,403,m³/h,700,m³/h,400,mg/l,330,mg/l,885,mg/l,538,mg/l,,mg/l,,mg/l,,mg/l,7.4,pH,1.60,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
12.09.2025,13:00:00,1.51,g/l,0.00,m³/h,7.84,g/l,64.97,m³/h,2.0,EE,,mg/l,,mg/l,16.21,Tage,,Tage,3.8,mg/l,0.8,mg/l,0.3,mg/l,10,mV,7.06,,3.1,g/l,3.6,g/l,526,m³/h,315,m³/h,291,m³/h,653,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
12.09.2025,14:00:00,1.45,g/l,0.00,m³/h,8.00,g/l,64.98,m³/h,2.5,EE,,mg/l,,mg/l,15.71,Tage,,Tage,5.1,mg/l,0.8,mg/l,0.3,mg/l,20,mV,7.07,,3.1,g/l,3.6,g/l,496,m³/h,488,m³/h,444,m³/h,586,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
12.09.2025,15:00:00,1.44,g/l,0.00,m³/h,7.85,g/l,64.93,m³/h,3.0,EE,,mg/l,,mg/l,16.06,Tage,,Tage,5.6,mg/l,1.1,mg/l,0.2,mg/l,52,mV,7.06,,3.1,g/l,3.5,g/l,504,m³/h,461,m³/h,383,m³/h,637,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
12.09.2025,16:00:00,1.43,g/l,0.00,m³/h,8.24,g/l,65.01,m³/h,3.0,EE,,mg/l,,mg/l,15.37,Tage,,Tage,4.9,mg/l,2.0,mg/l,0.2,mg/l,51,mV,7.05,,3.1,g/l,3.5,g/l,511,m³/h,457,m³/h,406,m³/h,664,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
12.09.2025,17:00:00,1.43,g/l,0.00,m³/h,8.04,g/l,65.05,m³/h,3.0,EE,,mg/l,,mg/l,15.69,Tage,,Tage,4.6,mg/l,2.3,mg/l,0.1,mg/l,46,mV,7.05,,3.1,g/l,3.5,g/l,557,m³/h,474,m³/h,453,m³/h,682,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
12.09.2025,18:00:00,1.42,g/l,0.00,m³/h,7.77,g/l,65.06,m³/h,2.6,EE,,mg/l,,mg/l,16.12,Tage,,Tage,4.3,mg/l,2.2,mg/l,0.1,mg/l,47,mV,7.05,,3.0,g/l,3.5,g/l,572,m³/h,587,m³/h,489,m³/h,716,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
12.09.2025,19:00:00,1.43,g/l,0.00,m³/h,7.80,g/l,65.06,m³/h,2.0,EE,,mg/l,,mg/l,16.06,Tage,,Tage,3.8,mg/l,1.9,mg/l,0.1,mg/l,43,mV,7.05,,3.0,g/l,3.5,g/l,589,m³/h,553,m³/h,495,m³/h,744,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
